1NIQ COMERCIAL LTDA;1NIQ;38.134.964/0001-03;AV.;DONA RUYCE FERRAZ ALVIM,;1151;;SERRARIA;DIADEMA;SP;BRASIL;11-9-9855-9944;bruno@1niq.com;BRUNO MONTE BAZZONI;09981-300;NULL;NULL
4;4;67.324.019/0001-64;AEROPORTO;1666;1;1;66666;66666;CE;BRASIL;(11) 9888-8888;4@5.com;4;01012-000;2022-04-30 08:39:21.000;S
A NOVA PALACIO DOS CRISTAIS IND.COM.LTDA;"PALÁCIO DOS CRISTAIS ";19.611.234/0001-01;RUA;INDEPENDÊNCIA;271;;VILA RENATA;GUARULHOS;SP;BRASIL;(11) 2086-6330;rosane@palaciodoscristais.ind.br;VALDEMIR /ROSANE;07056-010;2019-08-02 11:13:02.497;" "
A. E. VIDRAÇARIA LTDA;USEVIDROS;96.723.119/0001-61;AVENIDA;CENTENÁRIO;270-a;USEVIDROS;CENTRO;BRUMADO;BA;BRASIL;(77) 9935-2830;arlindo@usevidros.com.br;ARLINDO CUSTÓDIO;46100-000;NULL;NULL
A2 VIDROS IND. E COM. LTDA;A2 VIDROS;51.323.061/0003-92;RUA;SÃO MAURICIO,;163;;JD DAS FLORES;OSASCO;SP;BRASIL;11-3682-2529;vendas@a2vidros.com.br;ALEXANDRE GROPPO BAR;06110-250;NULL;NULL
"ABRASIPA IND DE ABRASIVOS LTDA ";ABRASIPA;61.092.680/0001-05;RUA;JACOFER;437;;JARDIM PEREIRA LEITE;SÃO PAULO;SP;BRASIL;(11) 3933-2994;jacque@abrasipa.com.br;" JACQUELINE NEVES SILVA ";02712-070;2024-09-13 09:07:23.423;" "
ABRAVID - ASSOCIAÇÃO BRASILIENSE DE VIDRAÇARIAS;;04.060.942/0001-16;.;SIA TRECHO 4 - LOTE;1130;SALA 103 - ED SENAP 1 COMERCIO LOCAL;;BRASÍLIA;DF;;;;;71200040;NULL;" "
ABRAVIDRO;ABRAVIDRO;64.161.318/0001-37;AVENIDA;FRANCISCO MATARAZZO,;1752;SALA 615;ÁGUA BRANCA;SÃO PAULO;SP;BRASIL;(11) 3873-9908;mbotelho@abravidro.org.br;MAURICIO BOTELHO;05014-000;2025-10-17 15:27:42.177;" "
AC BRAGA CARLETTO COMERCIO DE VIDROS;DISTRIBUIDORA SENIOR;25.109.085/0001-71;RUA;JOAQUIM LAVOURA;419;;VISTA ALEGRE;SÃO GONÇALO;RJ;BRASIL;(21) 8016-2627;bragacarletto@gmail.com;"RAFAEL ";24724-460;2019-10-16 11:54:53.093;NULL
"ACIDATO INDUSTRIA DE VIDROS ESPECIAIS LTDA           ";ACIDATO;37.584.490/0001-20;RODOVIA;DOS MINÉRIOS;2420;;"TABOÃO                        ";"PR - CURITIBA                 ";PR;BRASIL;41-4108-6206;douglas@acidato.com.br;"DOUGLAS ALVES SKORA                                  ";82130-570;NULL;S
